UID,X,Y,name_first,name_second,introduction,difficulty,completionTime,length,difficulty_level_1,difficulty_level_1,course_style,duration_nights,duration_up_to_time,distance
68,170.1707624,-43.43359035,Franz Josef Glacier/Kā Roimata o Hine Hukatere Walk,,"Follow a rocky riverbed path, suitable for children, past a waterfall to Franz Josef Glacier viewing area.",Easy,1 hr 30 min,2575.69,2,1,one_way,0,1.5,2.58 kilometer
69,172.3028297,-40.88644937,Heaphy Track,,"Travel through expansive tussock downs, lush forests and nīkau palms to the roaring seas of the West Coast.",Intermediate,4 - 6 days,71926.57,3,1,one_way,5,120,71.93 kilometer
70,174.9366431,-41.34564582,Middle Ridge Track,,This walking track links up with two popular tracks within Catchpool Valley. ,Easy,1 hr,1313.94,2,1,one_way,0,1,1.32 kilometer
71,168.3896485,-44.84324839,Glenorchy Walkway,,This short walk over a beautiful wetland has plenty of bird life and is great for kids.,Easy,1 - 2 hr,4387.66,2,1,one_way,0,2,4.39 kilometer
72,173.5056117,-41.4748009,Mt Fishtail Route,,Climb up to Mt Fishtail (1643 m) via Fishtail Hut.,Expert,5 hr 40 min to hut,7933.77,5,1,one_way,0,5.75,7.94 kilometer
73,175.7340577,-36.74443646,Waitaia Track,,"Once extensively logged and mined, a regenerating coastal forest now greets visitors as they walk along the Waitaia Track. ",Easy,1 hr 30 min - 2 hr,2351.41,2,1,one_way,0,1.5,2.36 kilometer
74,173.3803554,-34.96730613,Lake Ohia Gumhole Reserve Walk,,This short easy walk takes you through manuka scrub passing a series of excavated gumholes. A historical outing suitable for families.,Easy,10 min,208.28,2,1,one_way,0,0.17,208.29 meter
75,174.5407064,-35.61154894,Tutukaka Head tracks,,"This short, easy walk leads to the coast and a lighthouse - it's a great option for kids.",Easy,1 hr,1314.58,2,1,one_way,0,1,1.32 kilometer
76,174.4719984,-35.51178864,Motutara Recreation Reserve Walk,,The Motutara Recreation Reserve lies halfway between Russell and Whangarei. At the reserve you’ll find several small beaches and some good fishing and diving spots. ,Easy,2 hr,1737.53,2,1,one_way,0,2,1.74 kilometer
77,168.8504555,-46.05917604,Croydon Bush tracks,,There are several tramping opportunities available in Croydon Bush Scenic Reserve.,"Easy,Advanced",30 m - 2 hr,14964.48,2,3,one_way,0,2,14.97 kilometer
78,175.0813241,-40.87905906,Parata Walking Track,,"Well-formed, Parata Walking Track is suitable for people of most ages and fitness levels. It climbs to a lookout offering views of the coast and Reikorangi Valley.",Easy,1 – 2 hr return,2710.36,2,1,return,0,2,2.72 kilometer
79,176.0454015,-39.75481471,Rangitane Road to Crow Hut Loop Track,,"A very steep up and down tramp in Ruahine Forest Park, climbing first to the Mokai Patea Range, then dropping to the Kawhatau River and then back up to the Hikurangi Range and out to Rangitane Road via the Kawhatau River. Involves camping out.",Advanced,3 days,4102.53,4,1,one_way,3,72,4.11 kilometer
80,168.0148684,-44.7567559,Gertrude Saddle Route,,"Gertrude Saddle includes rocky alpine terrain and should only be attempted in good weather. Wet weather, snow or ice create treacherous conditions.",Expert,4-6 hr,4295.59,5,1,one_way,0,6,4.3 kilometer
81,174.8551704,-36.80793065,Rangitoto Island shorter walks,,"Take a short walk around Rangitoto Island Scenic Reserve. Stroll through a kowahi grove or glen of kidney ferns, or walk along the coast to a gull breeding colony. ",Easy,Under 1 hr return,1945.6,2,1,return,0,1,1.95 kilometer
82,176.212247,-38.7656267,Opepe walks,,"Perfect for families and just a short drive from Taupo on SH5, explore native bush and discover local history in this scenic and historic reserve.",Easiest,30 min or 1 hr,4305.38,1,1,one_way,0,1,4.31 kilometer
83,172.7343685,-41.19340263,Flora Hut and Mount Arthur Hut tracks,,"Walk through beech forest to one of two huts, or combine the tracks for a circuit walk - a great day walk or overnight tramp for families with kids.","Easy,Advanced",Various times under 4 hr,7876.66,2,3,one_way,0,4,7.88 kilometer
84,175.3815616,-36.20442012,Forest Road (Port FitzRoy - Whangaparapara),,Discover a wide array of beautiful bush and mountain views.,Advanced,5 hr,13650.05,4,1,one_way,0,5,13.66 kilometer
85,172.6929746,-41.12935934,Asbestos Cottage tracks,,Walk to an historic cottage (built 1897) that was home to a reclusive couple for nearly 40 years.,Advanced,2 hr | 4 - 5 hr one way,10853.44,4,1,one_way,0,5,10.86 kilometer
86,168.7201304,-45.06291386,Jack's Point Track,,"A walk with superb lake and mountain views over undulating open grassland and scattered scrub, ending at Jack's Point. ",Easy,4 hr,7240.03,2,1,one_way,0,4,7.25 kilometer
87,174.141705,-35.45304397,Ruapekapeka Pā Track ,,"Explore New Zealand's history on this short, easy walk - it's suitable for buggies.",Easy,30 min,1424.11,2,1,one_way,0,0.5,1.43 kilometer
88,172.8117893,-40.88719744,Paynes Ford Tramline Track,,Walk to some excellent swimming holes on a track that follows an old tramline.,Easy,30 min one way,1931.96,2,1,one_way,0,0.5,1.94 kilometer
89,175.7796304,-37.46367378,Daly's Clearing Loop Track,,"A highlight along this track is the extensive groves of nīkau nestled under tall tawa, kohekohe and pukatea forest.",Advanced,4 hr,7506.95,4,1,one_way,0,4,7.51 kilometer
90,176.5503668,-38.04498494,Rotoma Bridle Track,,Walk through a magnificant stand of native bush.,Easy,20 min one way,957.95,2,1,one_way,0,0.33,957.96 meter
91,168.871212,-44.34169102,Wilkin Valley - East Matukituki Traverse,,This route crosses Rabbit Pass to connect with the East branch of the Matukituki River. It is suitable for experienced alpine trampers. Only attempt in good conditions – even then extreme care is required.,Expert,7 - 10 hr,25292.68,5,1,one_way,0,10,25.3 kilometer
92,172.7298439,-40.85456623,Pupu Hydro Walkway,,"Retracing an old gold-mining water race, this short walk passes through forest of young beech and rimu to mature podocarps - it's good for children but be sure to supervise them.",Easy,1hr 50 min,5355.2,2,1,one_way,0,1.9,5.36 kilometer
93,175.3883534,-36.16958369,Port FitzRoy, Cooper's Castle Track,Walk to a lookout with extensive views.,Advanced,2 hr 30 min - 3 hr one way,4192.74,4,1,one_way,0,3,4.2 kilometer
94,168.966129,-44.644941,Diamond Lake and Rocky Mountain walks,,"Choose from several walks including short, easier options suitable for kids, and enjoy views of Diamond Lake, Lake Wanaka and the surrounding mountains.",Easy,Various times under 3 hr,5708.4,2,1,one_way,0,3,5.71 kilometer
95,-176.3525828,-43.79964273,J.M. Barker (Hapupu) National Historic Reserve Walk,,See Moriori rakau momori (tree carvings) on this bush walk.,Easy,20 min,417.15,2,1,one_way,0,0.33,417.16 meter
96,168.4672097,-44.69357176,Rees-Dart Track,,"See spectacular mountain scenery, forest and alpine vegetation, glacier-fed rivers and the Dart Glacier on the Rees-Dart Track.",Advanced,4-5 days,84653.27,4,1,one_way,4,96,84.66 kilometer
97,173.5341575,-35.53208291,Waima Main Range Track,,This rugged and challenging track passes over some of Northland's highest points and offers occasional views over the surrounding forest and mountain range.  Listen to Kokako around the Oraora Saddle.,Advanced,10 hr one way,14098.28,4,1,one_way,0,10,14.1 kilometer
98,174.47424,-36.84126,Mokoroa Falls Track,,Walk the Mokoroa Falls Track to view the falls from a lookout platform. The track can be walked as part of a loop track when joined with the Mokoroa Stream Track and Goldie Bush Walkway. ,Easy,40 min one way,1345.92,2,1,one_way,0,0.67,1.35 kilometer
99,175.5316596,-36.61945307,Matamataharakeke Track,,Part of the original Waikawau to Kennedy Bay route used by gold miners and loggers. It goes up the main ridge past a series of lookouts giving views over bush covered hills to coast and islands. ,Advanced,3 hr,6381.78,4,1,one_way,0,3,6.39 kilometer
100,176.4001173,-39.28251185,Kaweka Road tramping tracks,,From Kaweka Road you can access Makahu Saddle via Whittle Road. The saddle is a popular starting point for backcountry tramping trips.,Advanced,4–7 hr return,8347.08,4,1,return,0,7,8.35 kilometer
101,170.5536408,-45.90097817,Tomahawk Lagoon/41-Peg Track,,Climb or moutain bike to Soldiers' Monument above Tomahawk Lagoon and take in commanding coastal views.,Advanced,2 hr,402.24,4,1,one_way,0,2,402.25 meter
102,172.3302046,-43.16064558,Bob’s Camp Bivouac Route ,,Visit a cute bivvy with an unusual curved roof.,Expert,5 hr one way,10601.8,5,1,one_way,0,5,10.61 kilometer
103,175.3845873,-39.37513706,Ohakune Old Coach Road,,Take a trip back into New Zealand's rail heritage while you walk or cycle an old coach road. The road was used to carry passengers and goods between two railheads on the North Island main trunk link before they were linked in 1908.,Easy,4 hr 30 min walk,11431.99,2,1,one_way,0,4.5,11.44 kilometer
104,170.4792906,-45.74787811,Silver Peaks routes,,"The Silver Peaks Scenic Reserve provides challenging routes in rugged country, less than 30 minutes drive from Dunedin city.","Advanced,Expert",9.5 hr,24800.79,4,2,one_way,0,9.5,24.81 kilometer
105,175.4570725,-40.90338508,Gentle Annie Track,,One of the most popular day trips in the park is the climb to Mountain House Shelter along the easy grade of the Gentle Annie Track.,Easy,3 hr 30 min - 4 hr return,7091.35,2,1,return,0,4,7.1 kilometer
106,169.4732921,-46.56424565,Papatowai walks,,Explore the coastal area around Papatowai - where forest meets sea.,Easy,40 min - 1 hr,3646.43,2,1,one_way,0,1,3.65 kilometer
107,176.8248634,-39.12380164,Boundary Stream Walks,,Walk to the Hawke's Bay highest waterfall or choose another walk in an area where native forest and birds are protected from pests and predators - shorter options are suitable for children,Easy,10 min - 9 hr,20568.71,2,1,one_way,0,9,20.57 kilometer
108,175.7191967,-37.10437238,Broken Hills walking tracks,,The Broken Hills area has a number of walking tracks through old mining sites.,Easy,5 min - 10 hr,10258.28,2,1,one_way,0,10,10.26 kilometer
109,175.9084942,-37.76051193,Ngamarama/Te Tuhi Track,,A challenging east-west crossing of the Kaimai Ranges featuring stream crossings and historic tramways.,Advanced,6 hr,11147.91,4,1,one_way,0,6,11.15 kilometer
110,175.5413607,-40.81115051,Kiriwhakapapa Loop,,This loop walk passes through regenerated native forest - it's well-graded and suitable for children.,Easy,30 min,2108.04,2,1,one_way,0,0.5,2.11 kilometer
111,176.5195439,-38.15950746,Tarawera Falls Track,,"The track runs between the Waterfall road carpark to the spectacular falls, where water surges out of fissures in a high cliff face.",Easiest,20 min one way,798.28,1,1,one_way,0,0.33,798.29 meter
112,169.31935,-44.176629,Cameron Valley Track,,Starting at the Cameron Creek car park enjoy a good day's tramp ending at the 4-bunk Cameron Hut.,Advanced,4 - 5 hr one way,5731.12,4,1,one_way,0,5,5.74 kilometer
113,176.0202049,-40.12495673,Rokaiwhenua Stream Walk,,Rokaiwhenua Stream Walk is a pleasant and easy 1-hour forest walk you get to from Tamaki Road end in Eastern Ruahine Forest. ,Easiest,1 hr,2024.44,1,1,one_way,0,1,2.03 kilometer
114,168.1311919,-44.80484768,Pass Creek Track,,This difficult tramping track leads from the Hollyford Road up to Lake Howden on the Routeburn Track.,Advanced,4 hr,2558.6,4,1,one_way,0,4,2.56 kilometer
115,173.6790645,-35.65678213,Tutamoe Scenic Reserve Track,,"Take a short, easy stroll along the Waiokukurau Stream to a picturesque lookout over a waterfall.",Easy,2 - 4 hr,345.31,2,1,one_way,0,4,345.31 meter
116,175.3343713,-36.52491565,Fantail Bay Track,,A tramping track leaves from the Fantail Bay campsite and leads to the bushline where you’ll find outstanding views. ,Advanced,30 min one way,1377.75,4,1,one_way,0,0.5,1.38 kilometer
117,176.0257461,-39.9907306,Knights Track to Pohangina Valley East Road,,"There is a bit of everything on this tramp in the Ruahine Forest Park - open tops, rivers and bush travel.",Advanced,3 days,17462.07,4,1,one_way,3,72,17.47 kilometer
118,169.3494587,-46.57160009,McLean Falls Walk,,Walk to the spectacular McLean Falls though a variety of forest and shrub types.,Easiest,40 min,1005.55,1,1,one_way,0,0.67,1.01 kilometer
119,170.2015156,-43.38714252,Tatare Tunnels Walk ,,The 80-minute walk follows an old 4WD road then the tracks climbs to the old water tunnels. You will need a torch and raincoat to explore the tunnels. ,Easy,1 hr 20 min,1830.54,2,1,one_way,0,1.25,1.84 kilometer
120,170.9327698,-42.78359637,Mananui Tramline (Mahinapua Walkway),,"This flat, easy walk or mountain bike ride, suitable for children, follows an old logging tramline and passes beautiful Lake Mahinapua.",Easy,2 hr - 2 hr 30 min,6626.44,2,1,one_way,0,2.5,6.63 kilometer
